data,temperature_2m_max,temperature_2m_min,precipitation_sum,weather_code
2023-01-01,28.0,22.2,2.8,55
2023-01-02,29.4,21.0,0.0,2
2023-01-03,32.8,23.4,2.0,61
2023-01-04,32.3,23.6,14.4,63
2023-01-05,24.6,22.3,14.3,63
2023-01-06,22.8,20.9,34.3,63
2023-01-07,22.7,20.3,19.0,63
2023-01-08,24.2,20.6,3.2,55
2023-01-09,24.1,21.5,26.4,63
2023-01-10,26.8,22.5,8.5,63
2023-01-11,28.8,22.4,8.3,63
2023-01-12,31.1,24.0,7.3,63
2023-01-13,32.6,23.9,1.2,53
2023-01-14,31.8,24.8,0.0,3
2023-01-15,31.2,24.6,0.0,3
2023-01-16,29.5,23.7,0.0,3
2023-01-17,28.4,23.3,0.2,51
2023-01-18,27.6,23.8,0.2,51
2023-01-19,27.9,23.6,0.5,51
2023-01-20,27.8,22.4,10.3,63
2023-01-21,27.8,22.8,6.4,63
2023-01-22,28.9,22.4,0.0,3
2023-01-23,31.3,24.0,6.3,61
2023-01-24,26.8,22.8,13.4,63
2023-01-25,26.9,22.3,1.0,51
2023-01-26,26.8,22.0,0.3,51
2023-01-27,27.8,23.2,0.3,51
2023-01-28,29.6,23.9,5.2,61
2023-01-29,31.6,24.2,0.4,51
2023-01-30,30.5,24.9,11.3,63
2023-01-31,31.2,24.6,0.0,3
2023-02-01,29.0,24.2,3.2,55
2023-02-02,31.8,24.2,2.5,61
2023-02-03,32.6,25.1,1.6,53
2023-02-04,31.5,25.6,0.0,3
2023-02-05,32.2,24.8,0.0,3
2023-02-06,29.9,24.7,1.2,55
2023-02-07,28.3,23.6,13.4,63
2023-02-08,27.0,22.4,9.7,61
2023-02-09,27.8,21.8,0.0,3
2023-02-10,29.8,23.3,0.3,51
2023-02-11,29.3,23.6,16.2,63
2023-02-12,29.1,23.5,10.2,63
2023-02-13,28.8,23.9,9.3,63
2023-02-14,31.5,24.2,2.2,61
2023-02-15,34.1,24.7,8.6,63
2023-02-16,32.8,24.3,13.7,63
2023-02-17,31.9,26.5,0.0,3
2023-02-18,30.0,24.1,12.3,63
2023-02-19,28.1,23.6,4.4,63
2023-02-20,28.0,22.2,0.1,51
2023-02-21,31.8,23.7,11.4,63
2023-02-22,28.9,22.9,1.3,53
2023-02-23,28.8,23.7,0.0,3
2023-02-24,29.4,23.9,0.0,3
2023-02-25,32.1,23.9,0.0,3
2023-02-26,34.2,24.7,0.0,3
2023-02-27,29.0,25.2,1.5,53
2023-02-28,28.5,23.5,5.6,61
2023-03-01,27.6,22.5,0.5,53
2023-03-02,30.2,23.0,0.0,3
2023-03-03,29.8,24.2,0.0,3
2023-03-04,32.5,25.2,0.2,51
2023-03-05,32.8,25.3,1.1,55
2023-03-06,28.7,25.4,1.7,55
2023-03-07,31.2,24.5,0.0,3
2023-03-08,30.0,25.4,0.0,3
2023-03-09,31.5,24.2,0.0,3
2023-03-10,30.4,24.0,0.0,3
2023-03-11,28.5,23.5,31.4,65
2023-03-12,28.4,23.8,13.3,61
2023-03-13,27.4,23.9,1.6,53
2023-03-14,27.8,22.4,0.1,51
2023-03-15,27.1,22.8,0.4,51
2023-03-16,27.1,22.2,0.2,51
2023-03-17,26.8,22.0,0.4,51
2023-03-18,26.9,22.2,0.3,51
2023-03-19,27.9,23.1,0.0,3
2023-03-20,29.8,22.9,0.0,1
2023-03-21,28.6,24.1,0.2,51
2023-03-22,27.8,23.2,0.0,1
2023-03-23,27.2,22.5,0.4,51
2023-03-24,29.5,22.4,0.0,3
2023-03-25,28.3,23.9,0.4,51
2023-03-26,33.4,23.5,0.0,3
2023-03-27,27.2,23.9,3.2,55
2023-03-28,27.2,23.4,0.4,51
2023-03-29,28.9,23.3,0.0,3
2023-03-30,30.3,24.4,15.6,65
