startDate,endDate,dayCount,needBridgeDay,bridgeDays
2023-04-07,2023-04-09,3,False,[]
2023-04-21,2023-04-23,3,False,[]
2023-04-29,2023-05-01,3,False,[]
2023-06-08,2023-06-11,4,True,['2023-06-09']
2023-09-07,2023-09-10,4,True,['2023-09-08']
2023-10-12,2023-10-15,4,True,['2023-10-13']
2023-11-02,2023-11-05,4,True,['2023-11-03']
2023-12-23,2023-12-25,3,False,[]
2023-12-30,2024-01-01,3,False,[]
2024-03-29,2024-03-31,3,False,[]
2024-05-30,2024-06-02,4,True,['2024-05-31']
2024-11-15,2024-11-17,3,False,[]
